taxa	CMP_AA_Bv1v3--CC04_50D	CMP_AA_Bv1v3--CC04_52H	CMP_AA_Bv1v3--CC08_09D	CMP_AA_Bv1v3--CC08_12H	CMP_AA_Bv1v3--CC12_08D	CMP_AA_Bv1v3--CC12_20H	CMP_AA_Bv1v3--CC15_07D	CMP_AA_Bv1v3--CC15_21H	CMP_AA_Bv1v3--HL02_13H	CMP_AA_Bv1v3--HL02_16D	CMP_AA_Bv1v3--HL11_11H	CMP_AA_Bv1v3--HL11_12D	CMP_AA_Bv1v3--HL13_12D	CMP_AA_Bv1v3--HL13_19H	CMP_AA_Bv1v3--HL17_13H	CMP_AA_Bv1v3--HL17_15D	CMP_AA_Bv1v3--SW02_LON	CMP_AA_Bv1v3--SW04_APT	CMP_AA_Bv1v3--SW08_POP	CMP_AA_Bv1v3--SW11_AQ3	CMP_AA_Bv1v3--SW12_PEL	CMP_AA_Bv1v3--SW13_CAN	CMP_AA_Bv1v3--SW15_JAZ	CMP_AA_Bv1v3--SW17_CG2	CMP_DB_Bv3--Sample1	CMP_DB_Bv3--Sample10	CMP_DB_Bv3--Sample11	CMP_DB_Bv3--Sample12	CMP_DB_Bv3--Sample13	CMP_DB_Bv3--Sample14	CMP_DB_Bv3--Sample15	CMP_DB_Bv3--Sample17	CMP_DB_Bv3--Sample2	CMP_DB_Bv3--Sample3	CMP_DB_Bv3--Sample4	CMP_DB_Bv3--Sample46	CMP_DB_Bv3--Sample47	CMP_DB_Bv3--Sample5	CMP_DB_Bv3--Sample6	CMP_DB_Bv3--Sample7	CMP_DB_Bv3--Sample8	CMP_DB_Bv3--Sample9	CMP_JJ_Bv5v6--ApD1	CMP_JJ_Bv5v6--ApD2	CMP_JJ_Bv5v6--ApD3	CMP_JJ_Bv5v6--ApDMu1	CMP_JJ_Bv5v6--ApDMu2	CMP_JJ_Bv5v6--ApDMu3	CMP_JJ_Bv5v6--ApN1	CMP_JJ_Bv5v6--ApN2	CMP_JJ_Bv5v6--ApN3	CMP_JJ_Bv5v6--ApNMu4	CMP_JJ_Bv5v6--ApNMu5	CMP_JJ_Bv5v6--ApNMu6	CMP_JJ_Bv5v6--Water2	CMP_JJ_Bv5v6--Water3	CMP_JS_Bv1v4--176_2	CMP_JS_Bv1v4--42a	CMP_JS_Bv1v4--60a	CMP_JS_Bv1v4--66_2	CMP_KB_Bv1v3--CCAZ1	CMP_KB_Bv1v3--CCAZ2	CMP_KB_Bv1v3--CCAZ3	CMP_KB_Bv1v3--CCAZ4	CMP_KB_Bv1v3--CCAZ5	CMP_KB_Bv1v3--DictZ1	CMP_KB_Bv1v3--DictZ2	CMP_KB_Bv1v3--DictZ3	CMP_KB_Bv1v3--DictZ4	CMP_KB_Bv1v3--DictZ5	CMP_KB_Bv1v3--HalZ1	CMP_KB_Bv1v3--HalZ3	CMP_KB_Bv1v3--HalZ4	CMP_KB_Bv1v3--HalZ5	CMP_KB_Bv1v3--TurfZ1	CMP_KB_Bv1v3--TurfZ2	CMP_KB_Bv1v3--TurfZ3	CMP_KB_Bv1v3--TurfZ4	CMP_KB_Bv1v3--TurfZ5	CMP_KB_Bv1v3--WP	CMP_KM_Bv3v4--MID17	CMP_KM_Bv3v4--MID18	CMP_KM_Bv3v4--MID20	CMP_KM_Bv3v4--MID21	CMP_KM_Bv3v4--MID22	CMP_KM_Bv3v4--MID23	CMP_KM_Bv3v4--MID24	CMP_KM_Bv3v4--MID25	CMP_KM_Bv3v4--MID26	CMP_KM_Bv3v4--MID27	CMP_KM_Bv3v4--MID28	CMP_TB_Bv1v2--G24A	CMP_TB_Bv1v2--G24B	CMP_TB_Bv1v2--G24C	CMP_TB_Bv1v2--G30A	CMP_TB_Bv1v2--G30B	CMP_TB_Bv1v2--G30C	CMP_TB_Bv1v2--G41A	CMP_TB_Bv1v2--G41B	CMP_TB_Bv1v2--G41C	CMP_TB_Bv1v2--HalZ2	CMP_TB_Bv1v2--W24	CMP_TB_Bv1v2--W30	CMP_TB_Bv1v2--W41	CMP_TB_Bv5v6--Sp1	CMP_TB_Bv5v6--Sp2	CMP_TB_Bv5v6--Sp3	CMP_TB_Bv5v6--Sp4	CMP_TB_Bv5v6--Sp5
Bacteria;Acidobacteria	0	0	0	0	3	2	0	5	0	0	0	1	2	0	7	114	3	0	7	1	2	4	1	1	22	0	10	0	0	0	0	9	12	490	10	0	0	0	11	0	1	6	1	2	0	0	1	2	2	1	0	7	6	0	1	1	0	0	166	15	1	1	0	1	0	2	2	21	0	2	3	0	3	7	0	0	2	1	2	0	3	2	0	1	2	0	0	0	0	0	0	55	0	2	711	4	7	12	1	103	0	49	4	9	5	4	166	2	0
Bacteria;Actinobacteria	49	0	2	15	23	14	52	88	18	7	20	9	39	78	44	101	416	533	576	105	444	143	493	208	71	5	501	14	0	0	0	258	46	41	38	3	1	4	130	3	3	7	0	0	0	175	47	45	1	1	0	59	51	24	51	171	226	29	569	0	9	11	18	11	18	6	3	30	0	1	4	13	3	7	6	6	34	9	13	129	7	3	6	10	3	0	0	0	0	0	4	92	200	27	93	29	136	116	31	232	9	1199	843	1649	128	84	839	30	43
Bacteria;BRC1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	2	0	0	0	0	0	0	0
Bacteria;Bacteroidetes	273	2525	185	590	707	334	257	403	8	3	256	59	135	29	116	50	370	379	305	65	154	89	163	356	1049	8607	614	8614	10	34	34	669	1503	3211	651	1570	1293	193	1160	10080	9933	1736	115	62	37	2659	2368	2037	92	55	96	2432	1355	1180	1270	4124	79	1595	119	33	756	604	275	602	276	767	565	432	27	26	575	453	344	308	807	807	198	755	412	352	54	26	10	78	42	2	2	0	0	8	21	1980	58	931	763	42	114	73	43	453	397	10842	11871	13238	40	230	196	14	69
Bacteria;Chlamydiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	7	3	0	0	3	0	7	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	9	1397	6	0
Bacteria;Chlorobi	0	0	0	0	1	2	0	0	0	0	0	0	0	0	11	2	11	0	3	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	0	0	2	207	2	206	0	0	0	0	0	0	0	0	0	1	1	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0
Bacteria;Chloroflexi	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	55	2	4	20	0	7	0	12	0	9	0	0	0	0	0	0	0	3	55	1	0	0	0	2	0	1	1	0	1	0	7	10	8	0	0	0	1	4	2	1	0	1	1	423	0	0	0	2	0	2	0	0	4	0	0	0	0	2	1	0	0	2	0	5	0	1	0	0	0	0	0	0	0	0	0	2	32	0	2	46	0	0	0	3	40	0	648	4	13	6	12	49	2	0
Bacteria;Cyanobacteria	958	314	105	469	891	196	695	1217	185	86	497	432	638	1073	5060	4542	4521	11056	26454	7621	21083	4568	19849	13715	39	1	57	3	1	1	2	47	28	99	82	722	161	22	42	1	1	5	1	1	0	506	259	340	12	1	3	286	305	101	349	628	2	20	0	94	1	0	1	0	1	0	0	0	1	2	0	0	2	1	0	0	5	1	21	0	35	8	0	31	18	0	0	1	0	0	4	250	490	31	155	172	297	14	13	14	0	7120	11760	10151	0	26	0	0	0
Bacteria;Deferribacteres	15	5	0	5	2	0	9	13	3	0	5	3	3	0	0	6	2	195	259	7	125	0	289	7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	61	42	39	0	0	1	67	38	24	41	117	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	9	0	0	109	19	2	2	0	0	0	722	904	1519	0	1	14	0	0
Bacteria;Deinococcus-Thermus	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	12	0	1	0	0	0	23	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	1	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0
